Index,Model,Analysis Type,Restriction,RiskType,BMRF,BMD,BMDL,BMDU,P Value,AIC,Unnormalized Log Posterior Probability,Scaled Residual for Dose Group near BMD,Scaled Residual for Control Dose Group,BMDS Recommendation
226,Multistage Degree 3,frequentist,Unrestricted,Extra Risk,0.1,7.099028113,3.671730405,10.07077596,0.954804126,142.1468273,-,-5.46E-05,-7.71E-04,Viable - Recommended
227,Log-Logistic,frequentist,Restricted,Extra Risk,0.1,19.96265448,13.78632325,42.89359748,0.738987101,131.6491519,-,-1.32E-02,-1.32E-02,Viable - Recommended
228,Gamma,frequentist,Unrestricted,Extra Risk,0.1,0.224189829,3.39E-02,0.689565346,0.890844238,232.0284155,-,4.44E-02,7.22E-02,Viable - Recommended
229,Dichotomous Hill,frequentist,Unrestricted,Extra Risk,0.1,8.82E-02,6.08E-02,0.801427598,0.996809995,40.15643545,-,6.17E-06,-2.11E-03,Viable - Recommended
230,Gamma,frequentist,Unrestricted,Extra Risk,0.1,6.28E-06,2.73E-06,Infinity,0.999995563,20.2133314,-,-5.09E-04,-5.09E-04,Questionable
231,Logistic,frequentist,Unrestricted,Extra Risk,0.1,0.235671562,5.60E-02,0.295321447,0.999949047,8.285616083,-,3.39E-03,-5.71E-02,Viable - Recommended
232,Multistage Degree 3,frequentist,Unrestricted,Extra Risk,0.1,3.84E-02,2.50E-02,0.180972956,0.997237435,31.82556448,-,-4.26E-04,-4.26E-04,Viable - Recommended
233,Dichotomous Hill,frequentist,Unrestricted,Extra Risk,0.1,0.259481142,0.10164899,Infinity,NA,151.9866662,-,-1.49E-03,1.03E-03,Questionable
234,Dichotomous Hill,frequentist,Restricted,Extra Risk,0.1,0.358080553,0.12395716,Infinity,0.998053597,116.3750409,-,1.98E-05,-8.28E-04,Viable - Recommended
235,Log-Logistic,frequentist,Unrestricted,Extra Risk,0.1,0.285978366,4.90E-02,Infinity,0.574500294,156.2115169,-,-0.150199947,0.148252707,Viable - Recommended
236,Dichotomous Hill,frequentist,Unrestricted,Extra Risk,0.1,0.57680663,0.449293609,0.755610189,65535,193.5960532,-,4.96E-08,-1.01E-07,Viable - Recommended
237,Dichotomous Hill,frequentist,Unrestricted,Extra Risk,0.1,0.792463436,0.602014394,1.177014478,65535,117.6512503,-,7.89E-08,-9.30E-08,Viable - Recommended
238,Log-Logistic,frequentist,Unrestricted,Extra Risk,0.1,407.8741423,347.2719719,Infinity,1,52.04086258,-,1.68E-04,-8.73E-04,Viable - Recommended
239,Weibull,frequentist,Unrestricted,Extra Risk,0.1,1261.042075,867.2664528,1299.528088,1,54.6908038,-,-1.10E-08,-8.73E-04,Viable - Recommended
240,Logistic,frequentist,Unrestricted,Extra Risk,0.1,28.19053293,21.59300876,53.13309897,0.941835743,118.5025765,-,-5.71E-02,3.98E-02,Viable - Recommended
241,Log-Logistic,frequentist,Unrestricted,Extra Risk,0.1,12.59203153,7.574468343,13.01670821,0.161328313,110.635472,-,5.61E-09,-0.297355096,Viable - Recommended
242,Gamma,frequentist,Unrestricted,Extra Risk,0.1,1.90E-02,3.89E-03,4.96E-02,0.227242473,79.86580161,-,0.303738366,-0.669462529,Viable - Recommended
243,Multistage Degree 2,frequentist,Restricted,Extra Risk,0.1,24.72256647,17.21509054,Infinity,0.968000732,32.02038951,-,3.74E-02,-7.40E-04,Viable - Recommended
244,Weibull,frequentist,Restricted,Extra Risk,0.1,5.551950956,3.4219998,7.566230118,0.989074978,118.6206524,-,-9.15E-02,-7.40E-04,Viable - Recommended
245,Log-Probit,frequentist,Restricted,Extra Risk,0.1,5.376572611,3.743860876,6.9913044,0.861466068,124.0931304,-,-0.264539965,-7.40E-04,Viable - Recommended
246,Multistage Degree 2,frequentist,Restricted,Extra Risk,0.1,8.033118844,5.403363162,9.457702507,0.769802698,100.8512385,-,-0.761877067,-7.40E-04,Viable - Recommended
247,Weibull,frequentist,Restricted,Extra Risk,0.1,23.06797909,19.88466213,38.87005471,0.999999986,22.29366349,-,7.15E-06,-7.40E-04,Viable - Recommended
248,Log-Logistic,frequentist,Unrestricted,Extra Risk,0.1,28.29021139,4.991008024,Infinity,0.597415625,45.18716708,-,0.155307603,-7.41E-04,Viable - Recommended
249,Weibull,frequentist,Restricted,Extra Risk,0.1,6.991344984,3.775495166,12.65145822,0.936988532,199.7447996,-,5.87E-02,-3.66E-02,Viable - Recommended
250,Weibull,frequentist,Restricted,Extra Risk,0.1,6.991344984,3.775495166,12.65145822,0.936988532,199.7447996,-,5.87E-02,-3.66E-02,Viable - Recommended
251,Dichotomous Hill,frequentist,Unrestricted,Extra Risk,0.1,5.09E-02,4.45E-02,0.109770506,0.302989168,179.7331954,-,6.92E-04,0.728061018,Viable - Recommended
252,Probit,frequentist,Unrestricted,Extra Risk,0.1,4.03E-02,3.34E-02,4.90E-02,0.460495172,213.9018342,-,0.97806421,-0.337251832,Viable - Recommended
253,Multistage Degree 3,frequentist,Restricted,Extra Risk,0.1,0.173014671,0.101511077,0.31190163,0.999981193,60.49030806,-,9.92E-05,-1.10E-03,Viable - Recommended
254,Gamma,frequentist,Unrestricted,Extra Risk,0.1,0.270125573,2.90E-02,Infinity,0.44338244,124.7683011,-,-0.761566555,-4.16E-02,Viable - Recommended
255,Gamma,frequentist,Unrestricted,Extra Risk,0.1,0.84266729,0.10795408,2.97633403,0.671300053,285.9431004,-,-0.31089023,0.100390769,Viable - Recommended
256,Probit,frequentist,Unrestricted,Extra Risk,0.1,2.424287419,1.987969348,2.958561315,0.613526,154.3900442,-,0.253731422,-0.677192356,Viable - Recommended
257,Multistage Degree 3,frequentist,Restricted,Extra Risk,0.1,0.787623,0.55834145,2.552019103,8.16E-02,478.3630236,-,0.322616961,-1.301283532,Questionable
258,Quantal Linear,frequentist,Unrestricted,Extra Risk,0.1,5.434229142,4.051259636,7.487787511,0.171573915,76.83607902,-,-7.81E-04,-7.81E-04,Viable - Recommended
259,Log-Probit,frequentist,Restricted,Extra Risk,0.1,3.620924117,2.733072138,5.712081691,0.834803892,77.71340743,-,-7.81E-04,-7.81E-04,Viable - Recommended
260,Probit,frequentist,Unrestricted,Extra Risk,0.1,2.745756003,2.0365599,4.696114766,0.346331486,155.4761548,-,0.58773968,0.631634429,Viable - Recommended
261,Multistage Degree 2,frequentist,Unrestricted,Extra Risk,0.1,1.001116079,0.463049678,5.448206806,0.475713818,206.8418072,-,0.578295614,-0.283933464,Viable - Recommended
262,Log-Logistic,frequentist,Unrestricted,Extra Risk,0.1,4.586178145,0.511553059,Infinity,0.914627144,69.18586867,-,-0.108974328,-8.73E-04,Viable - Recommended
263,Probit,frequentist,Unrestricted,Extra Risk,0.1,4.68369756,3.478965562,8.227885911,0.919085627,115.6743438,-,-5.07E-02,-8.20E-03,Viable - Recommended
264,Log-Probit,frequentist,Restricted,Extra Risk,0.1,1.214537787,0.950084538,2.070383776,0.578350358,155.4643293,-,0.800986969,-0.468592328,Viable - Recommended
265,Dichotomous Hill,frequentist,Restricted,Extra Risk,0.1,1.81079177,0.701037628,3.213519447,0.646355946,150.1480897,-,1.18E-04,0.324428854,Viable - Recommended
266,Multistage Degree 2,frequentist,Unrestricted,Extra Risk,0.1,8.42E-02,6.52E-02,0.112731201,0.909885699,177.4292498,-,1.35E-02,1.35E-02,Viable - Recommended
267,Log-Probit,frequentist,Restricted,Extra Risk,0.1,0.306824248,0.240659443,0.432887062,0.50380787,179.9086525,-,0.2840454,-0.140009117,Viable - Recommended
268,Probit,frequentist,Unrestricted,Extra Risk,0.1,6.597985616,5.049598973,8.088487671,0.977437654,54.9590964,-,3.62E-03,-0.200786214,Viable - Recommended
269,Multistage Degree 3,frequentist,Unrestricted,Extra Risk,0.1,3.581026077,0.583380223,4.136653522,0.999572681,52.32413742,-,-6.82E-06,-4.78E-04,Viable - Recommended
270,Multistage Degree 2,frequentist,Unrestricted,Extra Risk,0.1,8.552395821,6.699417389,11.05190687,0.895477139,44.67112088,-,0.400168758,-4.78E-04,Viable - Recommended
271,Log-Logistic,frequentist,Restricted,Extra Risk,0.1,16.07260538,11.10498184,43.51631442,0.68157143,164.050385,-,-2.74E-02,-2.74E-02,Viable - Recommended
