Study_Index,Dose,Number,Effect
267,0,50,5
267,0.6,49,18
267,1.9,50,38
267,6.6,50,47
268,0,15,0
268,4,30,1
268,8,29,5
268,16,16,13
269,0,15,0
269,4,30,5
269,8,29,26
269,16,16,16
270,0,15,0
270,4,30,0
270,8,29,3
270,16,16,6
271,0,50,3
271,89.28571429,50,22
271,178.5714286,50,28
