"Study_Index","Dose","Number","Effect"
209,12.8,31,1
210,0,30,0
210,105.6338028,30,1
210,211.2676056,29,0
210,422.5352113,28,5
210,845.0704225,25,14
211,0,26,0
211,0.17,22,3
211,0.45,28,7
211,1.1,22,10
211,2.75,29,15
211,6.88,29,2
212,0,94,1
212,63.15789474,42,12
212,157.8947368,48,22
213,0,53,10
213,0.051,54,10
213,0.144,53,12
213,0.361,51,18
214,0,11,0
214,0.007300885,27,0
214,0.07300885,29,1
214,0.730088496,26,5
215,0,17,0
215,0.365044248,13,11
215,0.730088496,13,12
216,0,24,0
216,0.324675325,24,3
216,0.649350649,24,5
216,3.246753247,50,3
217,0,10,0
217,0.231910946,10,4
217,0.463821892,9,5
217,2.319109462,9,9
218,0,33,3
218,0.1022,55,5
218,0.5137,52,41
218,1.0273,39,32
219,0,45,0
219,0.1022,61,0
219,0.5137,50,32
219,1.0273,37,26
220,0,71,3
220,0.0216,71,3
220,0.1079,72,7
220,0.2698,72,9
221,0,92,17
221,0.65187,48,16
221,1.1511,49,43
222,0,78,3
222,0.6187,47,3
222,1.3093,49,33
223,0,50,0
223,54.8,50,0
223,109.6,50,0
223,230.4,50,0
223,427.6,50,10
223,1322.6,50,50
224,0,50,0
224,54.8,50,0
224,109.6,50,0
224,230.4,50,0
224,427.6,50,0
224,1322.6,50,11
225,0,50,3
225,21.42857143,50,6
225,42.85714286,50,12
226,0,62,1
226,0.63,61,3
226,3.33,62,0
226,13.3,61,15
227,0,20,0
227,0.00247,21,2
227,0.00741,21,0
227,0.02471,11,2
227,0.07413,19,7
227,0.24711,20,16
228,0,36,0
228,5.7,40,0
228,11.4,38,1
228,22.9,34,3
229,0,36,0
229,5.7,40,4
229,11.4,38,12
229,22.9,34,24
230,0,36,0
230,5.7,40,4
230,11.4,38,15
230,22.9,34,23
231,0,36,0
231,5.7,40,1
231,11.4,38,9
231,22.9,34,19
232,0,36,0
232,5.7,40,0
232,11.4,38,0
232,22.9,34,3
233,0,36,0
233,5.7,40,1
233,11.4,38,1
233,22.9,34,3
234,0,45,4
234,5,65,10
234,20,65,25
234,100,65,62
235,0,80,6
235,0.025,80,3
235,0.05,80,11
235,0.25,30,12
236,0,80,6
236,0.025,80,9
236,0.05,80,20
236,0.25,30,27
237,0,80,0
237,0.025,80,1
237,0.05,80,2
237,0.25,30,5
238,0,80,1
238,0.025,80,5
238,0.05,80,9
238,0.25,30,2
239,0,92,37
239,0.88,48,21
239,3.66,44,28
239,14.63,49,44
240,0,73,5
240,0.88,39,6
240,3.66,42,11
240,14.63,44,39
241,0,127,30
241,0.01,63,26
241,0.06,64,17
241,1.3,64,27
241,5.6,64,42
242,0,40,0
242,13,36,4
242,52,38,27
243,0,40,0
243,13,36,19
243,52,38,34
244,0,50,5
244,0.4,50,2
244,1.3,50,7
244,5,50,14
245,0,50,5
245,0.6,50,10
245,1.9,50,12
245,6.6,50,16
246,0,50,0
246,0.4,50,1
246,1.3,50,3
246,5,50,5
247,0,50,2
247,0.6,50,2
247,1.9,50,4
247,6.6,50,10
248,0,50,1
248,0.6,50,4
248,1.9,50,10
248,6.6,50,34
249,0,50,3
249,0.6,50,2
249,1.9,50,9
249,6.6,50,13
250,0,49,2
250,0.4,50,20
250,1.3,50,38
250,5,49,44
251,0,50,5
251,0.6,49,18
251,1.9,50,38
251,6.6,50,47
252,0,15,0
252,4,30,1
252,8,29,5
252,16,16,13
253,0,15,0
253,4,30,5
253,8,29,26
253,16,16,16
254,0,15,0
254,4,30,0
254,8,29,3
254,16,16,6
255,0,50,3
255,89.28571429,50,22
255,178.5714286,50,28
