"Index","Species","Strain","Sex","Effect.Sex","Dose.Converted","Sex.result","bw.a"
99,"Rat","CD","M/F","Both","Conv","Both",0.368
100,"Mouse","B6C3F1","M/F","F","HEq","F",70
101,"Rat","Fischer 344","M/F","F","Conv","F",0.229
102,"Mouse","CD-1","M/F","M","Dose","M",0.0373
103,"Mouse","B6C3F1","M/F","M","Conv","M",0.0373
104,"Rat","Fischer 344","M/F","F","HEq","F",70
105,"Rat","Fischer 344","M/F","F","HEq","F",70
106,"Mouse","B6C3F1","M/F","M","Conv","M",0.0373
107,"Rat","Fischer 344","M/F","M","Dose","M",0.38
108,"Rat","Fischer 344","M/F","M","Dose","M",0.38
109,"Rat","Fischer 344","M/F","M","Dose","M",0.38
110,"Mouse","B6C3F1","F","Both","HEq","F",70
111,"Rat","Fischer 344","M/F","F","HEq","F",70
112,"Mouse","B6C3F1","M/F","M","Conv","M",0.0373
113,"Rat","Fischer 344","M/F","M","Conv","M",0.38
114,"Mouse","CD-1","M/F","M","Conv","M",0.0373
115,"Rat","Wistar","M","Both","Conv","M",0.462
116,"Rat","Wistar","M","M","HEq","M",70
117,"Rat","Osborne-Mendel","M/F","M","Dose","M",0.514
118,"Rat","Osborne-Mendel","M","M","HEq","M",70
119,"Rat","Osborne-Mendel","M","Both","HEq","M",70
120,"Rat","Osborne-Mendel","M","Both","HEq","M",70
121,"Rat","Osborne-Mendel","M/F","M","Dose","M",0.514
