Dataset,RSD.log10sd,RSD.log10mad,RSD.log10iqr,RSD.log10ci90,RSD.log10ci95,Model,sigmaH,DAF,AHU,Residuals
105,2.33098293243581,3.15240614431641,4.82702442009134,6.41025472473401,6.8144727377408,0.922343560177946,0.0135809542043596,0,0.0166609392160897,0.0525101600236744
106,1.88274142648074,1.59996563455847,2.54513942873743,5.68836545326227,7.07721046965011,0.166051508706623,0.0756197192795814,0.00397036168070199,0.0184206877509868,0.728224640905478
107,1.84119424004356,1.4558179321016,3.19778246397259,5.5684228386331,6.06071761953324,0.874311884781384,0.0501952749925468,0.000566915440207007,0.0242167059552237,0.0470748131622533
108,1.91935069366916,1.54859798685181,2.31668198083889,6.09304208385019,7.24081571240339,0,0.0432192329417572,0.00325530641957658,0.0185697144402299,0.932440578566947
109,2.00412407789608,1.61948952874026,2.50414672549732,6.5805181570387,7.68457959610976,0,0.0403083340494491,0.000384599289303584,0.0178394863614937,0.939870588000324
110,1.90878499153063,2.50557859951896,3.3777847031115,5.28231579481263,6.37929843800742,0.332218653790139,0.0326474831996021,0,0.0241003521119694,0.603476487456647
111,2.01042723736157,2.32931044361374,3.52583756368738,6.05730849511361,6.49791018734642,0.896632098715924,0.0170129295272811,0,0.0197595426338073,0.0480288855459719
112,2.23555327069029,2.44585866844917,4.42903813131887,5.84171910375786,6.30611841989591,0.89457173642147,0.0273592634033101,0.00110550961642918,0.0182305285695328,0.0467440840357399
113,2.04360608203925,1.06552681051469,3.87944806089219,5.63547685822691,6.02078434150143,0.896287285963075,0.0206646897231441,0.000689883553641645,0.0222625091509528,0.0619528268008577
114,1.79920399168596,0.783195562197827,1.34789729936536,5.50291315710337,6.00570881116802,0.799254550515854,0.0217791678553032,0.00055317249717706,0.0234679874708411,0.15186329237285
115,2.20219165524103,3.14800140293341,4.3218615914588,6.30950375114431,6.68563467226326,0.863619903373158,0.0194232681977568,0.000572244280537304,0.0149672362886236,0.0941324712413111
116,2.17565696329592,3.22631580761117,4.41395622257534,6.28144607400897,6.64264542073614,0.859374148061819,0.0140574606420733,0,0.0187353015209711,0.0944528298451288
117,1.98978704405375,2.44383257583064,3.77535884450527,5.42834879608866,5.98635728310591,0.693204212457318,0.0181327321362079,0.00235610194328207,0.0162583224877778,0.255816385050974
118,2.77001017983474,3.22206507994231,5.59445154394442,7.03966729005278,7.35240773718729,0.905523359559901,0.016023376970859,0,0.0115085542247466,0.0664615094458611
119,2.63744916468814,2.32589779496439,5.24696489277759,6.99160050352227,7.28512681798811,0.915370560214618,0.0201804130934028,0,0.0133089254840642,0.0521961166337705
120,2.04569331331125,2.11524315547769,3.47245256226866,6.28512080921625,6.74590229259658,0.787343009176977,0.0144652203403056,0,0.0191305735763878,0.183119395631767
121,1.72731607556437,1.30398268469312,2.80863738609516,5.16714428874739,5.70390125095612,0.626391812436397,0.0235908017607444,0.000229976977826628,0.0251446404425763,0.3298820897014
122,1.58729134970088,0.923328694367781,2.05031178593236,5.06587632322402,5.63490788377373,0.710121044941649,0.0216326793325662,0,0.0315911077028564,0.244108776294392
123,2.13492473781199,1.75922044603194,4.05404318357134,5.9002213373195,6.26673514574998,0.895375425403214,0.0172990706174638,0,0.0188639066808739,0.0485544980310555
124,0.927304070358125,0.518756506467941,0.724118516396676,2.83393885495404,4.21560041458429,0.618741177886161,0.0431890308702331,0,0.0969122205088776,0.212837109962607
125,1.59753120181032,1.35913021554096,2.86217998668578,4.54588152409514,4.90330496007845,0.849687744566431,0.0220800209765761,0,0.0332971289428289,0.0751797314959198
126,1.6068454275677,0.628140501948525,0.926082767183101,5.2033374498241,5.84206823605523,0.80247694254289,0.0244469054431766,0.00163757123682479,0.0334241557479359,0.133050498844338
127,1.78487654029494,1.35358103193751,2.99239702066008,5.11079571803326,5.82365040410015,0.564609889829006,0.0224890707843092,6.51855273452425e-05,0.0354262132292246,0.370229072446724
128,2.31410165171981,2.76910598558498,4.36234759577252,6.23270587020226,6.5597943346582,0.922346757444421,0.0225540422949437,0,0.0151277798717586,0.0290531136243952
129,1.93316397953957,2.51016062765364,3.43155775722345,5.33418255565459,6.50940678370289,0.37173360873685,0.0388250508753157,1.53043179150155e-05,0.0143869481998855,0.571590541944209
130,1.7587065231365,0.792182829630142,1.32871145566917,5.41726362634805,5.89212293927065,0.850733507213091,0.0203814765228039,0.00230864746794362,0.0252329829591332,0.0964991226358994
131,1.95030818012958,1.0777784947791,2.95416727480446,5.77658107781806,6.17603089208056,0.904094262378892,0.0185936773392874,0.00102221532941045,0.022846810856927,0.0488797773686749
132,1.83153630493203,2.11155448574143,3.55633610373333,5.19988544707694,5.55110108945063,0.823336427080026,0.0421213602984407,0.00168676637358923,0.0286211244443398,0.105393708023174
133,1.8045045555623,1.47368206145237,3.27779863903593,5.15073969162777,5.57063799225234,0.838969256086008,0.023433021336862,0.00105239043721173,0.0296307002865269,0.100608193372584
