Dataset,RSD.log10sd,RSD.log10mad,RSD.log10iqr,RSD.log10ci90,RSD.log10ci95,Model,sigmaH,DAF,AHU,Residuals
114,1.83957483371248,1.49577222522633,3.21228702757867,5.60369265951484,5.98995017494626,0.874035122672845,0.0453827943343164,0.000648672077848774,0.0259254844034946,0.0447578009597971
115,1.89080815124547,1.6536093052094,2.33337847019213,6.17481059330639,7.10709181071118,0,0.0462719828664957,0.0011112249883622,0.0201696353594011,0.929308210299218
116,2.00631915972503,1.69709509221258,2.4934146162615,6.38551994243349,7.6608559447308,0,0.0419356353730548,5.64462379923089e-05,0.029693537178478,0.92471163359605
117,1.82054695657159,2.49266627305514,3.32685616915956,5.11675198856174,5.7544305961818,0.446114769429595,0.0340752778750822,0.000673954736094713,0.0232031699192667,0.483677105496126
118,2.00093457220251,2.26167548688076,3.14509362742709,6.07709913187735,6.53217520735637,0.904941197604816,0.0173320472914344,0.00109300167634588,0.0196252568842206,0.0432284022657481
119,2.23202033776374,2.94078357102684,4.3955448046329,5.88552887630028,6.25073633517684,0.898461925337593,0.0277937709512407,0.00113687950836899,0.0159751650945408,0.0514349614571728
120,1.99861023156178,0.965180992485601,3.58405627978144,5.59163144185722,5.97601615498388,0.883823961873864,0.0176867521363119,0.000500904186926867,0.0214740864050279,0.0667988622927311
121,1.80668225974035,0.712335095859095,1.13386841106008,5.52714121997285,5.985136966733,0.864319457926827,0.0209410320681533,0.00217645726542965,0.0208679124905631,0.0798968651911467
122,2.18344806335073,3.03492747985824,4.24002705741985,6.33597535263323,6.66066166853191,0.863712016625855,0.018920083996248,0.000234295024465929,0.0159800757970959,0.0906316286751917
123,2.13359414846463,3.00756142202302,4.08740788331028,6.24671775055312,6.68034867098634,0.86285115789761,0.0134574578423499,0.000501632146666658,0.018404124063365,0.0901860393680307
124,2.00164334138736,2.01618174659568,3.6371854981659,5.57946518124181,6.28082329523064,0.626413701170294,0.0204059181361369,0.000559404131384542,0.0246970600048065,0.318780970444982
125,2.77418712626144,3.9533477764624,5.53439037998301,7.12662778037399,7.47961256739135,0.866833722139659,0.0178659789995393,0.000747611244556848,0.0101234426144744,0.0910312389658102
126,2.64439320142847,3.18828661475084,5.47051055640717,7.03229988372657,7.39312937205751,0.885280105857863,0.0171618269827524,4.56637109266542e-05,0.0153080893046165,0.0695285459364984
127,2.01716606261558,2.02150705476638,3.21183531930184,6.2421948357804,6.65404526477858,0.727892017647558,0.0181031687538965,0.000777440554672197,0.0275429549037362,0.213227667459713
128,1.65006468376074,1.12771327823148,2.43144913118217,5.14309560741782,5.59720458812245,0.587568997001679,0.029988318999646,0.00043830399529846,0.0249008421682903,0.34517443262518
129,1.60989630064007,0.847679234799297,1.60182599172668,5.23308629662696,5.87523014605434,0.684859812038214,0.0270869257384349,0.000657447555571546,0.0350200610431706,0.239404746011461
130,2.07432964323652,1.57718359603754,3.93306932008684,5.86974914564688,6.23039901744904,0.897512410666691,0.0225636692574902,0.000324780469758043,0.0218118477601356,0.0420707079415803
131,0.876120052381426,0.492572984320425,0.676067605353364,2.51502964934105,4.14802851470729,0.593932322889748,0.0468036671712645,0.00545796426795479,0.117325333515441,0.200767008494399
132,1.57111111980709,1.25419438683996,2.7090617406705,4.50984977451172,4.88330824020976,0.85459685673146,0.0269217811654908,0.000537553117997092,0.0297881331912028,0.068195010403443
133,1.53824608403205,0.584539894993504,0.836845129992759,5.18409727000299,5.80099203383509,0.774662335634381,0.0181286346721728,0.003689655653535,0.0406520841743348,0.139573093705028
