"Index","indivrisk","Incidence","X5.","X50.","X95."
29,0.01,0.5,0.008460546,0.035992492,0.859758837
29,0.1,0.5,0.0807918,0.324576283,1.572421458
30,1e-06,0.5,8.27e-06,0.160272157,2.798798982
30,1e-05,0.5,8.27e-05,0.241074629,3.158053994
30,1e-04,0.5,0.000826552,0.373991586,3.627350811
30,0.001,0.5,0.008210799,0.559561761,4.307954316
30,0.01,0.5,0.078642252,0.885459567,5.240928784
30,0.1,0.5,0.548710969,2.079074335,7.22429929
31,1e-06,0.5,1.34e-05,0.000163922,0.001844692
31,1e-05,0.5,4.77e-05,0.00041783,0.003435937
31,1e-04,0.5,0.000167896,0.001063348,0.00660188
31,0.001,0.5,0.000570659,0.002766956,0.013083649
31,0.01,0.5,0.001865112,0.007122843,0.02725032
31,0.1,0.5,0.006021608,0.019547255,0.062618626
32,1e-06,0.5,6.78e-05,0.168200749,13.81453785
32,1e-05,0.5,0.000603103,0.332073197,17.63503046
32,1e-04,0.5,0.004455529,0.673440415,22.47591554
32,0.001,0.5,0.019316014,1.425911506,28.80639112
32,0.01,0.5,0.06833808,3.921406634,37.52865451
32,0.1,0.5,0.273418,13.31906641,63.38325933
33,1e-06,0.5,1.23e-05,0.000118594,1.775024967
33,1e-05,0.5,0.000123223,0.001179114,2.05963001
33,1e-04,0.5,0.001232272,0.011597386,2.432603965
33,0.001,0.5,0.012201964,0.105136099,2.914517565
33,0.01,0.5,0.114049041,0.64918389,3.753610094
33,0.1,0.5,0.636699475,2.118419369,7.806547573
34,1e-06,0.5,5.34e-07,3.97e-06,0.063950144
34,1e-05,0.5,5.32e-06,3.63e-05,0.089862351
34,1e-04,0.5,5.31e-05,0.000332729,0.132752209
34,0.001,0.5,0.000528551,0.002930692,0.196963127
34,0.01,0.5,0.005173013,0.024351794,0.321799527
34,0.1,0.5,0.050244076,0.182753893,0.726477679
35,1e-06,0.5,2.37e-07,2.06e-06,0.061061449
35,1e-05,0.5,2.37e-06,2.05e-05,0.074513474
35,1e-04,0.5,2.37e-05,0.000204271,0.089782781
35,0.001,0.5,0.000237067,0.001963799,0.109879158
35,0.01,0.5,0.002361822,0.015540764,0.147777339
35,0.1,0.5,0.020679521,0.077250682,0.283689027
36,1e-06,0.5,3.58e-06,2.5e-05,0.324248818
36,1e-05,0.5,3.56e-05,0.00024637,0.417140107
36,1e-04,0.5,0.000349985,0.002409029,0.543500261
36,0.001,0.5,0.003399296,0.022573579,0.756235421
36,0.01,0.5,0.031146755,0.181511588,1.292902576
36,0.1,0.5,0.284277122,1.057772861,3.830009914
37,1e-06,0.5,1.97e-06,1.81e-05,0.319150557
37,1e-05,0.5,1.9e-05,0.000172117,0.411937392
37,1e-04,0.5,0.000175265,0.001609285,0.54190322
37,0.001,0.5,0.001459644,0.014111698,0.714796424
37,0.01,0.5,0.010279363,0.107088372,1.01650589
37,0.1,0.5,0.054314259,0.603976759,2.725020966
38,1e-06,0.5,2.33e-07,1.83e-06,0.038004727
38,1e-05,0.5,2.33e-06,1.82e-05,0.046447433
38,1e-04,0.5,2.33e-05,0.000179975,0.058676241
38,0.001,0.5,0.000232391,0.001723671,0.076471513
38,0.01,0.5,0.002298559,0.013912009,0.113367237
38,0.1,0.5,0.020370623,0.074522287,0.27152609
39,1e-06,0.5,8.98e-08,1.5e-06,0.017320684
39,1e-05,0.5,8.97e-07,1.45e-05,0.022637507
39,1e-04,0.5,8.97e-06,0.000133984,0.030181778
39,0.001,0.5,8.85e-05,0.00115016,0.042984746
39,0.01,0.5,0.000873971,0.007650776,0.066969955
39,0.1,0.5,0.00829758,0.036790264,0.143692169
40,1e-06,0.5,3.46e-06,2.47e-05,0.396503761
40,1e-05,0.5,3.46e-05,0.000245636,0.495153743
40,1e-04,0.5,0.000346441,0.00242526,0.629601421
40,0.001,0.5,0.003445961,0.022888321,0.839703234
40,0.01,0.5,0.03239501,0.18361519,1.322296643
40,0.1,0.5,0.278632991,1.04766648,3.962315095
41,1e-06,0.5,2.05e-06,1.78e-05,0.39360863
41,1e-05,0.5,1.98e-05,0.000172409,0.494974475
41,1e-04,0.5,0.000192814,0.001577652,0.613918987
41,0.001,0.5,0.001753432,0.013695101,0.795423798
41,0.01,0.5,0.013009844,0.10396837,1.086817075
41,0.1,0.5,0.067180747,0.621951627,2.717772034
42,1e-06,0.5,1.47e-07,8.21e-07,0.006382366
